,unix,tusd_mcap
343,1551484800,201599146.22058588
344,1551571200,201745272.0673824
345,1551657600,201898090.17060807
346,1551744000,200447896.73064002
347,1551830400,199713191.1550551
348,1551916800,199586910.26700094
349,1552003200,199993788.6967854
350,1552089600,200629100.60935047
351,1552176000,200136332.3446853
352,1552262400,199283056.49737033
353,1552348800,200401526.93413252
354,1552435200,198968385.47323966
355,1552521600,199485227.49272475
356,1552608000,197217421.77421612
357,1552694400,199090999.4775808
358,1552780800,197849466.64326033
359,1552867200,199822527.22287354
360,1552953600,200934403.63413602
361,1553040000,203853938.7996556
362,1553126400,203302611.4943555
363,1553212800,203601893.4676163
364,1553299200,204243649.1465133
365,1553385600,207528117.53785184
366,1553472000,202619788.1089224
367,1553558400,203175762.00192747
368,1553644800,201975671.2451108
369,1553731200,199878432.6006227
370,1553817600,199433498.7216595
371,1553904000,199664285.52832586
372,1553990400,199786602.30641383
373,1554076800,197107129.71643484
374,1554163200,192739812.3220313
375,1554249600,198139471.4427834
376,1554336000,198503698.61717215
377,1554422400,196910968.89732265
378,1554508800,199882012.81765813
379,1554595200,199506156.50532725
380,1554681600,199732536.54800653
381,1554768000,199818754.7123122
382,1554854400,202168534.651969
383,1554940800,200934888.4256011
384,1555027200,200083282.39462394
385,1555113600,200465204.5054147
386,1555200000,200706802.09257093
387,1555286400,199388134.4812461
388,1555372800,198086320.5765438
389,1555459200,198619945.18240306
390,1555545600,199382297.18168372
391,1555632000,201756749.57939854
392,1555718400,201689170.5111824
393,1555804800,200251747.20426407
394,1555891200,199569882.67743525
395,1555977600,200159244.7374413
396,1556064000,198513021.2380527
397,1556150400,200863600.36586517
398,1556236800,214056053.87550673
399,1556323200,210235098.5418564
400,1556409600,210254936.73592648
401,1556496000,210036985.32658428
402,1556582400,209550827.15694895
403,1556668800,214870404.05940786
404,1556755200,222955619.20221552
405,1556841600,224357905.45400196
406,1556928000,223646871.23266178
407,1557014400,223208470.72421905
408,1557100800,222932768.00591823
409,1557187200,230365326.86355743
410,1557273600,231684381.78547215
411,1557360000,234671610.21530306
412,1557446400,235268830.00753427
413,1557532800,234180260.81246263
414,1557619200,234624790.78509718
415,1557705600,234763433.5395537
416,1557792000,234013137.2622991
417,1557878400,234876418.1294944
418,1557964800,241117565.08458388
419,1558051200,240943736.43356827
420,1558137600,244168946.12761006
