,unix,tether_dominance
1018,1515628800,100.0
1019,1515715200,100.0
1020,1515801600,100.0
1021,1515888000,100.0
1022,1515974400,100.0
1023,1516060800,100.0
1024,1516147200,100.0
1025,1516233600,100.0
1026,1516320000,100.0
1027,1516406400,100.0
1028,1516492800,100.0
1029,1516579200,100.0
1030,1516665600,100.0
1031,1516752000,100.0
1032,1516838400,100.0
1033,1516924800,100.0
1034,1517011200,100.0
1035,1517097600,100.0
1036,1517184000,100.0
1037,1517270400,100.0
1038,1517356800,100.0
1039,1517443200,100.0
1040,1517529600,100.0
1041,1517616000,100.0
1042,1517702400,100.0
1043,1517788800,100.0
1044,1517875200,100.0
1045,1517961600,100.0
1046,1518048000,100.0
1047,1518134400,100.0
1048,1518220800,100.0
1049,1518307200,100.0
1050,1518393600,100.0
1051,1518480000,100.0
1052,1518566400,100.0
1053,1518652800,100.0
1054,1518739200,100.0
1055,1518825600,100.0
1056,1518912000,100.0
1057,1518998400,100.0
1058,1519084800,100.0
1059,1519171200,100.0
1060,1519257600,100.0
1061,1519344000,100.0
1062,1519430400,100.0
1063,1519516800,100.0
1064,1519603200,100.0
1065,1519689600,100.0
1066,1519776000,100.0
1067,1519862400,100.0
1068,1519948800,100.0
1069,1520035200,100.0
1070,1520121600,100.0
1071,1520208000,100.0
1072,1520294400,100.0
1073,1520380800,100.0
1074,1520467200,100.0
1075,1520553600,100.0
1076,1520640000,100.0
1077,1520726400,100.0
1078,1520812800,100.0
1079,1520899200,100.0
1080,1520985600,100.0
1081,1521072000,100.0
1082,1521158400,100.0
1083,1521244800,100.0
1084,1521331200,100.0
1085,1521417600,100.0
1086,1521504000,100.0
1087,1521590400,100.0
1088,1521676800,100.0
1089,1521763200,100.0
1090,1521849600,99.65794162619342
1091,1521936000,99.65607272618288
1092,1522022400,99.6549630101558
1093,1522108800,99.65512623001374
1094,1522195200,99.65866541632839
1095,1522281600,99.64182745963433
1096,1522368000,99.57912395569357
1097,1522454400,99.58446407807216
1098,1522540800,99.5828551095729
1099,1522627200,99.5870588661821
1100,1522713600,99.58704523801521
1101,1522800000,99.57743427551556
1102,1522886400,99.57654903014114
1103,1522972800,99.57816282566088
1104,1523059200,99.58133405806333
1105,1523145600,99.58110405931092
1106,1523232000,99.57806434690994
1107,1523318400,99.58156216773709
1108,1523404800,99.58068654469888
